date,ticker,count,close,sentiment,prop,n_posts,stock_post,count_post,sentiment_post,count_above,stock_above,sentiment_above
2021-02-21,AMC,11,5.7,0.4646818181818182,0.06790123456790123,162,0.236,0.038,0,FALSE,FALSE,FALSE
2021-02-22,AMC,3,6.55,-0.34246666666666664,0.021897810218978103,137,0.55,0.046,0,FALSE,FALSE,FALSE
2021-02-23,AMC,22,7.7,0.3659227272727273,0.08,275,0.214,0.04,0,FALSE,FALSE,FALSE
2021-02-24,AMC,11,9.09,0.25,0.04583333333333333,240,0.01,0.038,0,FALSE,FALSE,FALSE
2021-02-25,AMC,29,8.29,0.2893103448275862,0.05206463195691203,557,0.002,0.044,0,FALSE,FALSE,FALSE
2021-02-26,AMC,35,8.01,0.23638,0.06329113924050633,553,0.004,0.034,0,FALSE,FALSE,FALSE
2021-02-27,AMC,16,8.01,0.50204375,0.05460750853242321,293,0.002,0.058,0,FALSE,FALSE,FALSE
2021-02-28,AMC,12,8.01,0.715675,0.08333333333333333,144,0.008,0.054,0,FALSE,FALSE,FALSE
2021-03-01,AMC,13,9.18,0.7219307692307693,0.08387096774193549,155,0.004,0.022,0,FALSE,FALSE,FALSE
2021-03-02,AMC,23,8.93,0.3510478260869565,0.06301369863013699,365,0.004,0.032,0,FALSE,FALSE,FALSE
2021-03-03,AMC,24,8.58,0.5272791666666666,0.04145077720207254,579,0.008,0.04,0,FALSE,FALSE,FALSE
2021-03-04,AMC,24,8.03,0.5928666666666667,0.05042016806722689,476,0.002,0.038,0,FALSE,FALSE,FALSE
2021-03-05,AMC,24,8.05,0.508125,0.05687203791469194,422,0.01,0.032,0,FALSE,FALSE,FALSE
2021-03-06,AMC,24,8.05,0.36406666666666665,0.06030150753768844,398,0.014,0.03,0,FALSE,FALSE,FALSE
2021-03-07,AMC,10,8.05,0.76226,0.0684931506849315,146,0.286,0.048,0,FALSE,FALSE,FALSE
2021-03-08,AMC,4,9.29,0.761725,0.028985507246376812,138,0.622,0.032,0,FALSE,FALSE,FALSE
2021-03-09,AMC,11,10.5,0.31085454545454544,0.03081232492997199,357,0.048,0.038,0,FALSE,FALSE,FALSE
2021-03-10,AMC,32,9.85,0.28913125,0.05324459234608985,601,0.026,0.052,0,FALSE,FALSE,FALSE
2021-03-11,AMC,48,10.28,0.24225,0.0903954802259887,531,0.028,0.034,0,FALSE,FALSE,FALSE
2021-03-12,AMC,17,11.16,0.7046529411764706,0.05448717948717949,312,0.016,0.044,0,FALSE,FALSE,FALSE
2021-03-13,AMC,13,11.16,0.27386923076923075,0.05241935483870968,248,0.118,0.058,0,FALSE,FALSE,FALSE
2021-03-14,AMC,4,11.16,0.9789,0.025,160,0.872,0.504,0,FALSE,TRUE,FALSE
2021-03-15,AMC,9,14.04,0.8623222222222222,0.09473684210526316,95,0.004,0.272,0,FALSE,FALSE,FALSE
2021-03-16,AMC,33,13.02,0.35421515151515154,0.13580246913580246,243,0.002,0.236,0,FALSE,FALSE,FALSE
2021-03-17,AMC,20,13.56,0.281875,0.08928571428571429,224,0,0.452,0,FALSE,FALSE,FALSE
2021-03-18,AMC,15,14,0.5692066666666666,0.06493506493506493,231,0.004,0.188,0,FALSE,FALSE,FALSE
2021-03-19,AMC,4,13.93,0.3563,0.019138755980861243,209,0,0.052,0,FALSE,FALSE,FALSE
2021-03-20,AMC,8,13.93,0.6942625,0.061068702290076333,131,0.004,0.05,0,FALSE,FALSE,FALSE
2021-03-21,AMC,1,13.93,0.9983,0.020833333333333332,48,0.04,0.068,0,FALSE,FALSE,FALSE
2021-03-22,AMC,5,12.49,0.5889,0.07462686567164178,67,0.96,0.028,0,FALSE,TRUE,FALSE
2021-03-23,AMC,8,10.66,0.6384125,0.07142857142857142,112,0.012,0.036,0,FALSE,FALSE,FALSE
2021-03-24,AMC,8,9.02,0.2498375,0.05333333333333334,150,0.002,0.068,0,FALSE,FALSE,FALSE
2021-03-25,AMC,16,10.94,0.152875,0.060836501901140684,263,0.004,0.08,0,FALSE,FALSE,FALSE
2021-03-26,AMC,10,10.24,0.11921999999999999,0.050505050505050504,198,0.004,0.09,0,FALSE,FALSE,FALSE
2021-03-27,AMC,6,10.24,0.59185,0.04918032786885246,122,0,0.1,0,FALSE,FALSE,FALSE
2021-03-28,AMC,0,10.24,NA,0,46,0.006,0.054,0,FALSE,FALSE,FALSE
2021-03-29,AMC,6,10.35,0.52175,0.08333333333333333,72,0.008,0.086,0,FALSE,FALSE,FALSE
2021-03-30,AMC,3,10.35,0.8081666666666667,0.030927835051546393,97,0.008,0.066,0,FALSE,FALSE,FALSE
